J.R.R. Tolkien,English philologist and university professor
Jane Austen,English novelist known for her wit
Harper Lee,American novelist best known for her Pulitzer Prize-winning novel.
Douglas Adams,English science fiction writer and documentary filmmaker. 
F. Scott Fitzgerald,American novelist and short-story writer.
Gabriel Garcia Marquez,Colombian novelist known for his magical realism works.
